DAY,INDEX_VALUE
2023-07-03 00:00:00.000,100
2023-07-04 00:00:00.000,99.718011006
2023-07-05 00:00:00.000,98.682807559
2023-07-06 00:00:00.000,97.396848273
2023-07-07 00:00:00.000,97.600895586
2023-07-08 00:00:00.000,97.356198433
2023-07-09 00:00:00.000,96.793261055
2023-07-10 00:00:00.000,96.424745313
2023-07-11 00:00:00.000,96.233096936
2023-07-12 00:00:00.000,95.80348914
2023-07-13 00:00:00.000,99.24231655
2023-07-14 00:00:00.000,98.130828315
2023-07-15 00:00:00.000,98.127836556
2023-07-16 00:00:00.000,98.106369758
2023-07-17 00:00:00.000,97.450545172
2023-07-18 00:00:00.000,97.095323041
2023-07-19 00:00:00.000,96.874300069
2023-07-20 00:00:00.000,96.916528726
2023-07-21 00:00:00.000,96.943607837
2023-07-22 00:00:00.000,96.57160621
2023-07-23 00:00:00.000,96.865942478
2023-07-24 00:00:00.000,95.799439116
2023-07-25 00:00:00.000,95.880235787
2023-07-26 00:00:00.000,96.364770891
2023-07-27 00:00:00.000,95.57453998
2023-07-28 00:00:00.000,95.10314048
2023-07-29 00:00:00.000,95.393187549
2023-07-30 00:00:00.000,95.060753838
2023-07-31 00:00:00.000,94.900568074
2023-08-01 00:00:00.000,95.160719341
2023-08-02 00:00:00.000,94.274863541
2023-08-03 00:00:00.000,94.271041885
2023-08-04 00:00:00.000,93.8709191
2023-08-05 00:00:00.000,94.247269204
2023-08-06 00:00:00.000,94.362127848
2023-08-07 00:00:00.000,93.995878201
2023-08-08 00:00:00.000,95.079524692
2023-08-09 00:00:00.000,95.033174741
2023-08-10 00:00:00.000,95.51563908
2023-08-11 00:00:00.000,95.806952658
2023-08-12 00:00:00.000,96.112898192
2023-08-13 00:00:00.000,95.910502582
2023-08-14 00:00:00.000,95.965279803
2023-08-15 00:00:00.000,95.229765184
2023-08-16 00:00:00.000,94.43536833
2023-08-17 00:00:00.000,90.790719966
2023-08-18 00:00:00.000,89.494203803
2023-08-19 00:00:00.000,89.743828847
2023-08-20 00:00:00.000,89.385785265
2023-08-21 00:00:00.000,88.887253942
2023-08-22 00:00:00.000,87.879155197
2023-08-23 00:00:00.000,89.30501374
2023-08-24 00:00:00.000,88.500253915
2023-08-25 00:00:00.000,88.434684006
2023-08-26 00:00:00.000,88.201429114
2023-08-27 00:00:00.000,88.646271516
2023-08-28 00:00:00.000,88.491637331
2023-08-29 00:00:00.000,90.649276605
2023-08-30 00:00:00.000,90.141190791
2023-08-31 00:00:00.000,88.337875311
2023-09-01 00:00:00.000,87.729476054
2023-09-02 00:00:00.000,88.178700551
2023-09-03 00:00:00.000,88.073613398
2023-09-04 00:00:00.000,88.073150164
2023-09-05 00:00:00.000,88.231269992
2023-09-06 00:00:00.000,88.30096245
2023-09-07 00:00:00.000,88.560725705
2023-09-08 00:00:00.000,88.329145499
2023-09-09 00:00:00.000,88.190366319
2023-09-10 00:00:00.000,87.416981253
2023-09-11 00:00:00.000,85.210911256
2023-09-12 00:00:00.000,86.652067639
2023-09-13 00:00:00.000,87.070451254
2023-09-14 00:00:00.000,87.723126239
2023-09-15 00:00:00.000,88.306164333
2023-09-16 00:00:00.000,87.963996949
2023-09-17 00:00:00.000,87.356189408
2023-09-18 00:00:00.000,87.960539518
2023-09-19 00:00:00.000,88.195576782
2023-09-20 00:00:00.000,87.66720886
2023-09-21 00:00:00.000,86.398963611
2023-09-22 00:00:00.000,86.725575608
2023-09-23 00:00:00.000,86.654462731
2023-09-24 00:00:00.000,86.337925802
2023-09-25 00:00:00.000,86.094054303
2023-09-26 00:00:00.000,86.278145215
2023-09-27 00:00:00.000,86.547575557
2023-09-28 00:00:00.000,88.466372432
2023-09-29 00:00:00.000,89.472853113
2023-09-30 00:00:00.000,89.679755399
2023-10-01 00:00:00.000,91.629263101
2023-10-02 00:00:00.000,89.426502727
2023-10-03 00:00:00.000,89.394756868
2023-10-04 00:00:00.000,89.082254608
2023-10-05 00:00:00.000,87.990786582
2023-10-06 00:00:00.000,88.909816762
2023-10-07 00:00:00.000,88.61908017
2023-10-08 00:00:00.000,88.263364657
2023-10-09 00:00:00.000,86.441397758
2023-10-10 00:00:00.000,86.019816806
2023-10-11 00:00:00.000,85.776044398
2023-10-12 00:00:00.000,84.953991247
2023-10-13 00:00:00.000,85.255868906
2023-10-14 00:00:00.000,85.492863896
2023-10-15 00:00:00.000,85.529515518
2023-10-16 00:00:00.000,86.786673658
2023-10-17 00:00:00.000,85.5168707
2023-10-18 00:00:00.000,85.416590001
2023-10-19 00:00:00.000,85.48588568
2023-10-20 00:00:00.000,86.951121165
2023-10-21 00:00:00.000,87.673693481
2023-10-22 00:00:00.000,88.719979518
2023-10-23 00:00:00.000,92.712471499
2023-10-24 00:00:00.000,92.904931522
2023-10-25 00:00:00.000,93.038673627
2023-10-26 00:00:00.000,93.759256975
2023-10-27 00:00:00.000,92.81631791
2023-10-28 00:00:00.000,92.687701832
2023-10-29 00:00:00.000,93.604217547
2023-10-30 00:00:00.000,93.850295838
2023-10-31 00:00:00.000,93.687235032
2023-11-01 00:00:00.000,94.882971534
2023-11-02 00:00:00.000,93.432412795
2023-11-03 00:00:00.000,94.685228507
2023-11-04 00:00:00.000,95.732293571
2023-11-05 00:00:00.000,97.510370149
2023-11-06 00:00:00.000,97.571102787
2023-11-07 00:00:00.000,97.161606328
2023-11-08 00:00:00.000,97.265665995
2023-11-09 00:00:00.000,103.334087427
2023-11-10 00:00:00.000,103.597978936
2023-11-11 00:00:00.000,102.377597856
2023-11-12 00:00:00.000,102.631455001
2023-11-13 00:00:00.000,102.956315946
2023-11-14 00:00:00.000,100.388068611
2023-11-15 00:00:00.000,102.503508801
2023-11-16 00:00:00.000,99.494910642
2023-11-17 00:00:00.000,99.409944958
2023-11-18 00:00:00.000,99.582715958
2023-11-19 00:00:00.000,101.107071779
2023-11-20 00:00:00.000,101.826740769
2023-11-21 00:00:00.000,98.928429742
2023-11-22 00:00:00.000,102.730310562
2023-11-23 00:00:00.000,102.938577157
2023-11-24 00:00:00.000,103.470614156
2023-11-25 00:00:00.000,104.433906701
2023-11-26 00:00:00.000,103.898039572
2023-11-27 00:00:00.000,102.449189913
2023-11-28 00:00:00.000,103.410741322
2023-11-29 00:00:00.000,102.742740109
2023-11-30 00:00:00.000,103.278541912
2023-12-01 00:00:00.000,104.643242151
2023-12-02 00:00:00.000,106.992758386
2023-12-03 00:00:00.000,107.826190856
2023-12-04 00:00:00.000,109.879787758
2023-12-05 00:00:00.000,111.707271571
2023-12-06 00:00:00.000,110.34302391
2023-12-07 00:00:00.000,114.408515038
2023-12-08 00:00:00.000,114.773021197
2023-12-09 00:00:00.000,114.057159839
2023-12-10 00:00:00.000,113.858797292
2023-12-11 00:00:00.000,109.088849646
2023-12-12 00:00:00.000,107.511365807
2023-12-13 00:00:00.000,110.332716391
2023-12-14 00:00:00.000,112.253340244
2023-12-15 00:00:00.000,109.71523235
2023-12-16 00:00:00.000,109.609249246
2023-12-17 00:00:00.000,109.007378399
2023-12-18 00:00:00.000,109.237404483
2023-12-19 00:00:00.000,107.15523711
2023-12-20 00:00:00.000,107.475232455
2023-12-21 00:00:00.000,109.198930909
2023-12-22 00:00:00.000,112.078534469
2023-12-23 00:00:00.000,111.32982474
2023-12-24 00:00:00.000,110.590789403
2023-12-25 00:00:00.000,110.968996911
2023-12-26 00:00:00.000,109.421687085
2023-12-27 00:00:00.000,114.66916695
2023-12-28 00:00:00.000,113.795278414
2023-12-29 00:00:00.000,111.743471005
2023-12-30 00:00:00.000,111.618779231
2023-12-31 00:00:00.000,110.675207052
2024-01-01 00:00:00.000,113.204620938
2024-01-02 00:00:00.000,113.508263528
2024-01-03 00:00:00.000,108.378124383
2024-01-04 00:00:00.000,110.72458563
2024-01-05 00:00:00.000,110.123628466
2024-01-06 00:00:00.000,109.139729345
2024-01-07 00:00:00.000,108.409951841
2024-01-08 00:00:00.000,111.283421638
2024-01-09 00:00:00.000,112.444560011
2024-01-10 00:00:00.000,120.603343769
2024-01-11 00:00:00.000,123.601447929
2024-01-12 00:00:00.000,119.979580914
2024-01-13 00:00:00.000,120.79311186
2024-01-14 00:00:00.000,118.359311614
2024-01-15 00:00:00.000,119.773497198
2024-01-16 00:00:00.000,122.116336791
2024-01-17 00:00:00.000,119.401058315
2024-01-18 00:00:00.000,117.127276078
2024-01-19 00:00:00.000,117.888203236
2024-01-20 00:00:00.000,117.312057199
2024-01-21 00:00:00.000,117.589758906
2024-01-22 00:00:00.000,112.657262483
2024-01-23 00:00:00.000,109.736265525
2024-01-24 00:00:00.000,109.492984258
2024-01-25 00:00:00.000,108.99052232
2024-01-26 00:00:00.000,110.854763613
2024-01-27 00:00:00.000,111.218660758
2024-01-28 00:00:00.000,110.145803123
2024-01-29 00:00:00.000,112.794933765
2024-01-30 00:00:00.000,114.310156911
2024-01-31 00:00:00.000,108.578480965
2024-02-01 00:00:00.000,108.969899783
2024-02-02 00:00:00.000,109.381002173
2024-02-03 00:00:00.000,109.11846175
2024-02-04 00:00:00.000,108.665457643
2024-02-05 00:00:00.000,109.136816932
2024-02-06 00:00:00.000,111.805267637
2024-02-07 00:00:00.000,113.5683273
2024-02-08 00:00:00.000,113.896200927
2024-02-09 00:00:00.000,116.156350225
2024-02-10 00:00:00.000,116.367863029
2024-02-11 00:00:00.000,116.057365438
2024-02-12 00:00:00.000,121.109240444
2024-02-13 00:00:00.000,120.697338898
2024-02-14 00:00:00.000,124.815086966
2024-02-15 00:00:00.000,126.512116486
2024-02-16 00:00:00.000,125.683523331
2024-02-17 00:00:00.000,126.03977456
2024-02-18 00:00:00.000,129.291022466
2024-02-19 00:00:00.000,132.181768238
2024-02-20 00:00:00.000,133.343682908
2024-02-21 00:00:00.000,130.049121119
2024-02-22 00:00:00.000,132.260248283
2024-02-23 00:00:00.000,130.961867066
2024-02-24 00:00:00.000,132.714551811
2024-02-25 00:00:00.000,136.163486317
2024-02-26 00:00:00.000,138.348847721
2024-02-27 00:00:00.000,140.9485857
2024-02-28 00:00:00.000,144.023635735
2024-02-29 00:00:00.000,145.290211989
2024-03-01 00:00:00.000,147.919894899
2024-03-02 00:00:00.000,147.726163213
2024-03-03 00:00:00.000,149.736267377
2024-03-04 00:00:00.000,152.823062978
2024-03-05 00:00:00.000,151.079874509
2024-03-06 00:00:00.000,161.616743823
2024-03-07 00:00:00.000,162.549267798
2024-03-08 00:00:00.000,164.516040791
2024-03-09 00:00:00.000,165.060139243
2024-03-10 00:00:00.000,162.996205987
2024-03-11 00:00:00.000,169.811675541
2024-03-12 00:00:00.000,166.572716238
2024-03-13 00:00:00.000,167.791978211
2024-03-14 00:00:00.000,163.538156397
2024-03-15 00:00:00.000,158.041693932
2024-03-16 00:00:00.000,151.384765837
2024-03-17 00:00:00.000,155.437624181
2024-03-18 00:00:00.000,152.184487352
2024-03-19 00:00:00.000,139.440039781
2024-03-20 00:00:00.000,151.824098889
2024-03-21 00:00:00.000,150.792342016
2024-03-22 00:00:00.000,145.122295134
2024-03-23 00:00:00.000,147.162343632
2024-03-24 00:00:00.000,150.201333224
2024-03-25 00:00:00.000,155.28736853
2024-03-26 00:00:00.000,154.914499653
2024-03-27 00:00:00.000,152.115513664
2024-03-28 00:00:00.000,154.826023805
2024-03-29 00:00:00.000,153.41644695
2024-03-30 00:00:00.000,152.554586227
2024-03-31 00:00:00.000,156.683954289
2024-04-01 00:00:00.000,152.104720655
2024-04-02 00:00:00.000,144.708063946
2024-04-03 00:00:00.000,145.595493297
2024-04-04 00:00:00.000,145.929275952
2024-04-05 00:00:00.000,145.712384844
2024-04-06 00:00:00.000,147.658183578
2024-04-07 00:00:00.000,149.316824567
2024-04-08 00:00:00.000,158.417774871
2024-04-09 00:00:00.000,151.469809018
2024-04-10 00:00:00.000,152.666756865
2024-04-11 00:00:00.000,151.162887029
2024-04-12 00:00:00.000,141.111317114
2024-04-13 00:00:00.000,134.655831055
2024-04-14 00:00:00.000,139.260053506
2024-04-15 00:00:00.000,137.091648467
2024-04-16 00:00:00.000,136.658508514
2024-04-17 00:00:00.000,133.263507429
2024-04-18 00:00:00.000,136.087074035
2024-04-19 00:00:00.000,135.210185233
2024-04-20 00:00:00.000,139.369279094
2024-04-21 00:00:00.000,138.849700466
2024-04-22 00:00:00.000,141.152494061
2024-04-23 00:00:00.000,141.153936658
2024-04-24 00:00:00.000,137.941594875
2024-04-25 00:00:00.000,139.051111802
2024-04-26 00:00:00.000,137.936511961
2024-04-27 00:00:00.000,141.996693138
2024-04-28 00:00:00.000,142.432771267
2024-04-29 00:00:00.000,141.02477903
2024-04-30 00:00:00.000,133.773039535
2024-05-01 00:00:00.000,132.364772394
2024-05-02 00:00:00.000,133.582665528
2024-05-03 00:00:00.000,137.767278147
2024-05-04 00:00:00.000,137.805074893
2024-05-05 00:00:00.000,138.675723799
2024-05-06 00:00:00.000,136.46143571
2024-05-07 00:00:00.000,134.575858019
2024-05-08 00:00:00.000,132.907708647
2024-05-09 00:00:00.000,135.80734728
2024-05-10 00:00:00.000,131.604205436
2024-05-11 00:00:00.000,131.778059156
2024-05-12 00:00:00.000,132.143216229
2024-05-13 00:00:00.000,132.407508874
2024-05-14 00:00:00.000,129.922678267
2024-05-15 00:00:00.000,135.025575296
2024-05-16 00:00:00.000,132.339982021
2024-05-17 00:00:00.000,137.438678471
2024-05-18 00:00:00.000,138.28929431
2024-05-19 00:00:00.000,136.283161432
2024-05-20 00:00:00.000,155.57174126
ï»¿